Archivo,a,b (nm),c
a_n1_vs_ref.txt,0.05541109253211352,634.8689539992341,10.852875244488628
a_n1_vs_ref.txt,0.05541109253211352,634.8689539992341,10.852875244488628
b_n2_vs_ref.txt,0.15714804930337153,634.5242911704478,11.747568702034616
b_n2_vs_ref.txt,0.15714804930337153,634.5242911704478,11.747568702034616
c_n3_vs_ref.txt,0.25493256168760386,634.4528585907115,12.013653217768262
c_n3_vs_ref.txt,0.25493256168760386,634.4528585907115,12.013653217768262
d_n4_vs_ref.txt,0.469067059466968,633.8888090499992,16.475716218776927
d_n4_vs_ref.txt,0.469067059466968,633.8888090499992,16.475716218776927
e_n5_vs_ref.txt,0.4344744251983481,634.2694975728973,12.295596856761899
e_n5_vs_ref.txt,0.4344744251983481,634.2694975728973,12.295596856761899
f_n6_vs_ref.txt,0.7419642751649856,634.4375889679089,13.60806625874745
f_n6_vs_ref.txt,0.7419642751649856,634.4375889679089,13.60806625874745
g_n7_vs_ref.txt,1.1392623041128715,634.5872468424866,15.393272505054957
g_n7_vs_ref.txt,1.1392623041128715,634.5872468424866,15.393272505054957
h_n8_vs_ref.txt,1.452718982588203,634.6440607012382,16.058204573489718
h_n8_vs_ref.txt,1.452718982588203,634.6440607012382,16.058204573489718
i_n9_vs_ref.txt,1.7169318005623997,634.7076763911377,16.3625815454663
i_n9_vs_ref.txt,1.7169318005623997,634.7076763911377,16.3625815454663
j_n10_vs_ref.txt,1.8256231388085362,634.7103751660194,17.7956861736101
j_n10_vs_ref.txt,1.8256231388085362,634.7103751660194,17.7956861736101
k_n11_vs_ref.txt,2.028483090483305,634.4506045438565,17.936923534338515
k_n11_vs_ref.txt,2.028483090483305,634.4506045438565,17.936923534338515
m_n13_vs_ref.txt,2.080014786110838,635.2280473836879,21.790365595525547
m_n13_vs_ref.txt,2.080014786110838,635.2280473836879,21.790365595525547
n_n14_vs_ref.txt,2.0709421612900445,634.785554054009,23.71993016946876
n_n14_vs_ref.txt,2.0709421612900445,634.785554054009,23.71993016946876
o_n15_vs_ref.txt,2.123916624839456,635.8690073621216,26.737859105535303
o_n15_vs_ref.txt,2.123916624839456,635.8690073621216,26.737859105535303
