Archivo,Integrado_OD,Dosis
OD_Radicromic_n1_vs_ref.txt,0.007214999999999519,-0.08988322284003836
OD_Radicromic_n2_vs_ref.txt,0.3429349999999988,0.13986879513380385
OD_Radicromic_n3_vs_ref.txt,0.8003199999999981,0.4528829936950033
OD_Radicromic_n4_vs_ref.txt,0.847639999999998,0.48526672266712945
OD_Radicromic_n5_vs_ref.txt,1.060964999999997,0.6312569801265294
OD_Radicromic_n6_vs_ref.txt,2.665284999999994,1.7291831015247023
OD_Radicromic_n7_vs_ref.txt,5.465724999999989,3.6456811987922673
OD_Radicromic_n8_vs_ref.txt,8.654319999999988,5.827815524275719
OD_Radicromic_n9_vs_ref.txt,11.569749999999985,7.823007725400107
OD_Radicromic_n10_vs_ref.txt,14.553359999999982,9.864859323002085
OD_Radicromic_n11_vs_ref.txt,17.860909999999983,12.128401224138102
OD_Radicromic_n12_vs_ref.txt,20.646604999999976,14.034808491234617
OD_Radicromic_n13_vs_ref.txt,22.98538999999997,15.635370189545569
OD_Radicromic_n14_vs_ref.txt,26.525269999999974,18.057908535146804
OD_Radicromic_n15_vs_ref.txt,28.47021999999997,19.388946862795514
