archivo,dosis_Gy,area
OD_Radicromic_n1_vs_ref.txt,0.1,0.00721500
OD_Radicromic_n2_vs_ref.txt,0.3,0.34293500
OD_Radicromic_n3_vs_ref.txt,0.5,0.80032000
OD_Radicromic_n4_vs_ref.txt,0.7,0.84764000
OD_Radicromic_n5_vs_ref.txt,1,1.06096500
OD_Radicromic_n6_vs_ref.txt,2,2.66528500
OD_Radicromic_n7_vs_ref.txt,4,5.46572500
OD_Radicromic_n8_vs_ref.txt,6,8.65432000
OD_Radicromic_n9_vs_ref.txt,8,11.56975000
OD_Radicromic_n10_vs_ref.txt,10,14.55336000
OD_Radicromic_n11_vs_ref.txt,12,17.86091000
OD_Radicromic_n12_vs_ref.txt,14,20.64660500
OD_Radicromic_n13_vs_ref.txt,16,22.98539000
OD_Radicromic_n14_vs_ref.txt,18,26.52527000
OD_Radicromic_n15_vs_ref.txt,20,28.47022000
